Sample Name,"Height, El Cap section (m)",OrgC,Al_corrected,Al 2σ uncertainty (ppm),Ca_corrected,Ca 2σ uncertainty (ppm),Si_corrected,Si 2σ uncertainty (ppm),Ti_corrected,Ti 2σ uncertainty (ppm)
M1803 6.7,44.8,1.75,19070.752,6737.619628,39208.03797,1571.07917,340926.1895,12974.24138,1107.875941,182.7934576
M1803 7.7,45.8,2.25,28249.7168,6869.444728,127470.3418,1702.27547,263642.9039,13005.63178,1709.907416,192.1146576
M1803 8.6,46.7,1.32,18628.043,6885.287428,238690.3094,1791.33637,205786.1535,12989.26588,1106.912487,193.6432576
M1803 9.5,47.6,2.3,27150.1055,6872.414428,93187.31677,1659.70807,286808.4499,13013.16998,1470.702522,189.2772576
M1803 10.3,48.4,2.84,22719.9707,6825.717028,124487.5176,1687.48657,272449.6834,13003.56438,1382.81298,189.6987576
M1803 11.5,49.6,1.74,18300.5781,6773.161628,79978.58653,1642.97977,310790.5399,13001.87968,1113.375783,186.4893576
M1803 12.5,50.6,1.75,23490.6602,6795.954228,3027.418194,1495.19917,333334.1919,12996.77858,405.9483657,223.4759576
M1803 13.3,51.4,2.21,27303.0234,6814.607128,78422.96601,1639.27067,300019.1311,12994.16058,1497.020033,188.7121576
M1803 14.0,52.1,1.3,10595.9941,6704.655028,71241.02578,1619.64077,306558.7724,12984.53438,849.4689679,181.6457576
M1803 16.6,54.7,1.19,21695.6758,6878.619328,192156.6489,1784.01357,197409.0781,12949.50968,1497.593846,196.6049576
M1803 17.3,55.4,1.58,28887.7812,6912.780328,131523.4039,1731.90477,238987.7836,13001.66688,1698.865663,195.8535576
M1803 18.5,56.6,3,10436.6211,6752.134228,148281.8763,1718.21217,148684.2313,12920.60948,1279.746778,191.9744576
M1801 0.1,58.5,2.41,15447.127,6749.964728,105146.012,1658.06037,315046.1931,12981.70818,1230.808096,185.5446576
M1801 0.35,58.8,3.02,22013.6289,6852.667328,222503.4017,1761.36117,223501.6657,12965.38228,1562.903144,194.5902576
M1801 0.7,59.1,2.17,27781.8965,6950.188128,316558.4605,1834.08567,144861.1549,12924.00648,1065.56738,199.1559576
M1801 1.0,59.4,2.29,21165.666,6886.877228,249135.8944,1790.04367,207367.5338,12987.23358,1317.627711,199.2178576
M1801 1.4,59.8,4.2,34590.7031,6924.650528,155246.4759,1731.70587,211184.1865,12976.39668,2074.374726,196.7130576
M1801 1.7,60.1,2.14,22303.5527,6835.707928,132105.4732,1708.63807,250561.4532,12994.00348,1408.327007,190.3338576
M1801 1.9,60.3,2.78,26528.9648,6916.456928,192348.3879,1766.45357,187724.8831,12962.57608,1561.671897,196.2694576
M1801 2.2,60.6,2.46,21804.1152,6850.328728,165890.5239,1740.12837,237743.5303,12994.15418,1369.049663,192.7254576
M1801 2.5,60.9,3.39,25382.7109,6873.360428,178954.7904,1744.67007,210750.5059,12978.29348,1578.775879,194.1792576
M1801 2.9,61.3,2.72,21124.3418,6805.025628,118319.1136,1683.84087,268521.5815,12992.22358,1334.337274,188.2772576
M1801 3.25,61.7,3.72,26720.9961,6852.813028,118419.0491,1690.96337,250011.1101,12988.99078,1617.297625,191.0940576
M1801 3.55,62,2.46,22363.6621,6909.561828,222815.0908,1792.95937,168400.953,12946.37268,1284.478662,195.8986576
M1801 3.8,62.2,3.36,26799.6445,6894.547428,194157.1895,1756.42347,215152.9846,12983.81598,1592.006829,195.1943576
M1801 4.1,62.5,2.65,19422.2773,6814.499128,142454.9917,1705.80697,263573.574,13000.71888,1247.346159,188.8163576
M1801 4.6,63,3.85,28768.3008,6888.591028,153393.9433,1738.48417,218885.2925,12980.65718,1765.771022,195.3455576
M1801 5.05,63.5,2.86,22822.5488,6902.334228,274369.5662,1809.45267,173895.0211,12957.09448,1376.441095,197.7473576
M1801 5.1,63.5,4.55,28036.7168,6905.283128,199891.9949,1769.73977,190302.4827,12963.31758,1765.672443,197.3593576
M1801 5.3,63.7,4.34,24013.6152,6835.470628,140877.0823,1706.66197,209791.5117,12962.53168,1516.269272,190.1408576
M1801 5.7,64.1,3.65,22168.2363,6825.102928,133639.1985,1698.33007,257650.8127,12972.35698,1701.338649,192.0269576
M1801 6.0,64.4,2.87,19261.1523,6832.504628,177403.4524,1735.46847,223160.9746,12982.82118,1259.302649,190.5045576
M1801 6.2,64.6,2.48,17739.748,6830.558328,190629.6279,1751.08147,219776.5129,12981.99658,1180.443813,191.2940576
M1801 6.6,65,2.67,21814.8086,6854.357528,169594.9589,1739.19777,219008.4717,12979.53048,1421.978344,191.9049576
M1801 7.0,65.4,2.6,24414.2051,6874.420728,182583.2424,1751.82227,215224.6551,12979.90998,1501.680034,194.0512576
M1801 7.6,66,2.14,18226.166,6775.475728,105082.6207,1663.21057,310653.2368,12986.29228,1409.500291,187.2401576
M1801 7.8,66.2,2.04,20529.7656,6809.855628,131596.197,1693.68757,281960.9993,12984.70078,1492.165679,189.9700576
M1801 8.3,66.7,1.18,12983.4795,6834.89783,279252.651,1819.26147,169678.282,12951.1283,833.35098,193.311658
M1801 8.6,67,1.76,17246.4316,6860.08453,254123.433,1791.40467,180657.135,12960.5487,1112.24073,193.499458
M1801 9.25,67.7,4.64,32780.9375,6923.61103,182879.396,1748.81117,187146.625,12957.4803,1929.51675,196.945658
M1801 9.5,67.9,2.98,33129.1016,6902.39203,124157.527,1705.36087,244620.91,12995.2333,1853.66036,195.078558
M1801 10.0,68.4,3.32,26046.9062,6847.959228,120414.6868,1686.42667,262534.9164,12976.92228,1827.669433,192.5814576
M1801 10.3,68.7,4,36387.6953,6933.883428,183355.0226,1738.02857,197936.2271,12942.69738,2373.346694,198.8828576
M1801 10.8,69.2,2.92,24357.9004,6808.180228,83748.96247,1649.81107,282123.7309,12989.69238,1460.177346,188.8251576
M1801 11.2,69.6,4.81,21984.3105,6843.385628,174702.8024,1738.41487,233665.1185,12969.03658,1743.750464,193.4431576
M1801 11.8,70.2,1.84,25425.8828,6824.178928,93026.94356,1658.64577,287987.842,13000.49918,1295.132541,188.1313576
M1801 12.2,70.6,3.29,31142.4453,6856.73523,110984.11,1677.92917,276890.198,12978.8268,2021.33459,193.371058
M1801 12.5,70.9,3.86,40736.0898,6887.196528,88164.6611,1655.55437,279247.7591,12976.45308,2198.043676,194.5259576
M1801 12.8,71.2,2.22,22366.4355,6761.410728,48155.07075,1587.90807,330087.8845,12979.91458,1258.777554,184.6078576
M1801 13.2,71.6,3.2,29359.9082,6863.765428,142146.0788,1711.98957,253487.3112,12975.75048,1998.253657,195.2750576
M1801 13.8,72.2,2.28,10732.8613,6761.765128,208666.095,1740.85567,251400.6595,12975.08398,887.3408627,186.8551576
M1801 14.2,72.6,2.06,18435.9414,6803.345328,127923.9845,1701.62607,260441.3092,12992.69848,1061.616232,187.5712576
M1801 14.6,73,1.88,18157.0801,6764.100428,79523.82145,1635.03817,317700.9425,12978.83828,1235.588905,185.8054576
M1801 15.0,73.4,3.45,37636.7539,6947.425928,162314.8306,1742.23717,207886.6498,12974.90318,1902.86434,199.4425576
M1801 15.5,73.9,2.16,23785.7363,6876.531128,177223.2121,1747.50737,231635.9469,12995.90208,1416.181312,193.1357576
M1801 16.0,74.4,5.71,53615.9961,6988.713428,102188.3907,1686.76137,221734.9449,12956.53048,3112.906418,204.3498576
M1801 16.3,74.7,3.74,24500.25,6853.130428,179374.3205,1731.22887,232480.8986,12968.03478,1712.323686,194.2947576
