SAMPLE_NAME,SAMPLE_HEIGHT,OrgC
F1917 25.1,125.1,0.078369977
EA2110_25.2,125.2,
F1917 27.0,127,0.072664497
EA2110_27.2,127.2,
EA2110_27.8,127.8,
EA2110_28.3,128.3,
F1917 29.0,129,0.101590786
F1917 30.0,130,0.086972143
EA2110_30.6,130.6,
EA2110_30.9,130.9,
EA2110_31.2,131.2,
EA2110_31.5,131.5,
F1917 31.8,131.8,0.101244359
EA2110_31.8,131.8,
EA2110_32.3,132.3,
EA2110_32.6,132.6,
F1917 32.8,132.8,0.130719108
EA2110_32.9,132.9,
EA2110_33.2,133.2,
EA2110_33.5,133.5,
EA2110_33.8,133.8,
EA2110_34.1,134.1,
EA2110_34.6,134.6,
F1917 34.7,134.7,0.094549204
EA2110_34.9,134.9,
EA2110_35.2,135.2,
F1917 35.4,135.4,0.111554107
EA2110_35.5_A,135.5,
EA2110_35.5_B,135.5,
EA2110_35.5_D,135.5,
EA2110_35.5_E,135.5,
EA2110_35.5_F,135.5,
EA2110_35.5_G,135.5,
EA2110_35.8,135.8,
EA2110_36.1,136.1,
EA2110_36.4,136.4,
F1917 36.5,136.5,0.086580936
EA2110_36.7,136.7,
EA2110_37.0,137,
EA2110_37.3,137.3,
EA2110_37.6,137.6,
F1917 37.7,137.7,0.126055414
EA2110_37.9,137.9,
EA2110_38.2,138.2,
F1917 38.5,138.5,0.1590059
EA2110_38.8,138.8,
F1917 39.5,139.5,0.071690124
EA2110_39.5,139.5,
EA2110_39.9,139.9,
EA2110_40.2,140.2,
EA2110_40.6,140.6,
EA2110_41.1,141.1,
EA2110_41.4,141.4,
EA2110_41.7,141.7,
F1917 42.0,142,0.120463064
EA2110_42.0,142,
EA2110_42.3,142.3,
F1917 42.5,142.5,0.046200193
EA2110_42.6,142.6,
EA2110_42.9,142.9,
EA2110_43.2,143.2,
F1917 43.5,143.5,0.163301554
EA2110_43.5,143.5,
EA2110_44.2,144.2,
F1917 44.5,144.5,0.119582456
EA2110_44.5,144.5,
EA2110_44.8,144.8,
EA2110_45.1,145.1,
F1917 45.3,145.3,0.095731935
EA2110_45.4,145.4,
EA2110_45.7,145.7,
EA2110_46.0,146,
EA2110_46.3,146.3,
EA2110_46.6,146.6,
EA2110_46.9,146.9,
EA2110_47.2_A,147.2,
EA2110_47.2_B,147.2,
EA2110_47.5_A,147.5,
EA2110_47.5_B,147.5,
EA2110_47.8_A,147.8,
EA2110_47.8_B,147.8,
EA2110_48.1_A,148.1,
EA2110_48.1_B,148.1,
F1917 48.4,148.4,0.098496908
EA2110_48.4_A,148.4,
EA2110_48.4_B,148.4,
EA2110_48.7_A,148.7,
EA2110_48.7_B,148.7,
EA2110_49.0_A,149,
EA2110_49.0_B,149,
