Tuned time [Ma],Foram bent [#] (ISOBENbinned_d13Ccount),Foram bent δ13C [‰ PDB] (ISOBENbinned_d13C),13C_binned_interp,Foram bent [#] (ISOBENbinned_d18Ocount),Foram bent δ18O [‰ PDB] (ISOBENbinned_d18O),18O_binned_interp,13C_LOESSsmooth,18O_LOESSsmooth,Comment (error),13C_LOESSsmoothLongTerm),18O_LOESSsmoothLongTerm,Comment (ISOBENLOESSsmooth_pts)
0,1,-0.8,-0.8,1,3.52,3.52,-0.496,3.498,10pts smooth,-0.60621887,4.6201019,500pts smooth
0.002,1,0.43,0.43,1,3.57,3.57,-0.277,3.523,10pts smooth,-0.60559893,4.6183863,500pts smooth
0.004,2,-0.645,-0.645,2,3.535,3.535,-0.201,3.65,10pts smooth,-0.60497904,4.6166787,500pts smooth
0.006,3,0.047,0.047,3,3.807,3.807,-0.264,3.877,10pts smooth,-0.60435915,4.6149797,500pts smooth
0.008,3,-0.313,-0.313,3,3.96,3.96,-0.41,4.18,10pts smooth,-0.60373908,4.6132889,500pts smooth
0.01,2,-0.805,-0.805,2,4.925,4.925,-0.595,4.6,10pts smooth,-0.60311878,4.6116071,500pts smooth
0.012,2,-0.695,-0.695,2,4.82,4.82,-0.759,4.994,10pts smooth,-0.60249817,4.6099334,500pts smooth
0.014,3,-0.94,-0.94,3,5.353,5.353,-0.8,5.206,10pts smooth,-0.60187709,4.6082687,500pts smooth
0.016,3,-0.703,-0.703,3,5.33,5.33,-0.792,5.312,10pts smooth,-0.60125542,4.6066127,500pts smooth
0.018,3,-0.777,-0.777,3,5.277,5.277,-0.767,5.28,10pts smooth,-0.60063314,4.6049647,500pts smooth
0.02,4,-0.665,-0.665,4,5.165,5.165,-0.729,5.19,10pts smooth,-0.6000101,4.6033258,500pts smooth
0.022,2,-0.745,-0.745,2,5.05,5.05,-0.703,5.094,10pts smooth,-0.59938616,4.6016955,500pts smooth
0.024,3,-0.733,-0.733,3,5.023,5.023,-0.672,5.001,10pts smooth,-0.59876126,4.6000738,500pts smooth
0.026,4,-0.52,-0.52,4,4.923,4.923,-0.614,4.964,10pts smooth,-0.59813535,4.5984612,500pts smooth
0.028,2,-0.615,-0.615,2,4.93,4.93,-0.549,4.938,10pts smooth,-0.59750825,4.5968571,500pts smooth
0.03,2,-0.475,-0.475,2,4.975,4.975,-0.482,4.903,10pts smooth,-0.59687984,4.5952621,500pts smooth
0.032,4,-0.425,-0.425,4,4.832,4.832,-0.437,4.867,10pts smooth,-0.59625012,4.5936756,500pts smooth
0.034,4,-0.375,-0.375,4,4.837,4.837,-0.451,4.817,10pts smooth,-0.59561884,4.5920982,500pts smooth
0.036,2,-0.455,-0.455,2,4.735,4.735,-0.47,4.772,10pts smooth,-0.59498608,4.5905294,500pts smooth
0.038,2,-0.67,-0.67,2,4.755,4.755,-0.479,4.762,10pts smooth,-0.59435159,4.5889697,500pts smooth
0.04,3,-0.363,-0.363,3,4.76,4.76,-0.461,4.752,10pts smooth,-0.59371531,4.587419,500pts smooth
0.042,4,-0.352,-0.352,4,4.81,4.81,-0.432,4.747,10pts smooth,-0.59307712,4.5858769,500pts smooth
0.044,4,-0.485,-0.485,4,4.675,4.675,-0.393,4.736,10pts smooth,-0.59243697,4.5843444,500pts smooth
0.046,4,-0.325,-0.325,4,4.722,4.722,-0.359,4.725,10pts smooth,-0.59179473,4.5828204,500pts smooth
0.048,2,-0.425,-0.425,2,4.73,4.73,-0.321,4.719,10pts smooth,-0.59115028,4.581306,500pts smooth
0.05,3,-0.143,-0.143,3,4.73,4.73,-0.303,4.714,10pts smooth,-0.59050357,4.5798001,500pts smooth
0.052,4,-0.443,-0.443,4,4.73,4.73,-0.341,4.694,10pts smooth,-0.58985442,4.5783038,500pts smooth
0.054,4,-0.335,-0.335,4,4.628,4.628,-0.424,4.686,10pts smooth,-0.58920276,4.5768166,500pts smooth
0.056,3,-0.627,-0.627,3,4.72,4.72,-0.593,4.72,10pts smooth,-0.58854854,4.5753384,500pts smooth
0.058,3,-0.687,-0.687,3,4.74,4.74,-0.771,4.772,10pts smooth,-0.58789158,4.5738692,500pts smooth
0.06,3,-1.08,-1.08,3,4.877,4.877,-0.925,4.855,10pts smooth,-0.58723181,4.5724096,500pts smooth
0.062,5,-0.94,-0.94,5,4.942,4.942,-1.025,4.925,10pts smooth,-0.58656913,4.5709591,500pts smooth
0.064,2,-1.03,-1.03,2,4.91,4.91,-0.955,4.928,10pts smooth,-0.58590347,4.5695181,500pts smooth
0.066,2,-0.995,-0.995,2,4.97,4.97,-0.828,4.889,10pts smooth,-0.58523464,4.5680861,500pts smooth
0.068,2,-0.49,-0.49,2,4.775,4.775,-0.727,4.791,10pts smooth,-0.5845626,4.5666637,500pts smooth
0.07,5,-0.668,-0.668,5,4.628,4.628,-0.638,4.673,10pts smooth,-0.58388722,4.5652504,500pts smooth
0.072,3,-0.18,-0.18,3,4.53,4.53,-0.621,4.561,10pts smooth,-0.58320844,4.5638466,500pts smooth
0.074,2,-1.45,-1.45,2,4.53,4.53,-0.55,4.467,10pts smooth,-0.58252615,4.5624523,500pts smooth
0.076,3,0.087,0.087,3,4.37,4.37,-0.45,4.385,10pts smooth,-0.58184016,4.5610676,500pts smooth
0.078,2,-0.43,-0.43,2,4.3,4.3,-0.192,4.299,10pts smooth,-0.58115047,4.5596924,500pts smooth
0.08,2,0.18,0.18,2,4.21,4.21,0.03,4.231,10pts smooth,-0.58045697,4.5583262,500pts smooth
0.082,2,-0.025,-0.025,2,4.24,4.24,-0.043,4.195,10pts smooth,-0.57975948,4.5569701,500pts smooth
0.084,4,0.032,0.032,4,4.157,4.157,-0.211,4.202,10pts smooth,-0.57905799,4.5556235,500pts smooth
0.086,1,-0.6,-0.6,1,4.24,4.24,-0.444,4.305,10pts smooth,-0.57835233,4.5542865,500pts smooth
0.088,3,-0.84,-0.84,3,4.377,4.377,-0.639,4.417,10pts smooth,-0.57764244,4.552959,500pts smooth
0.09,1,-0.59,-0.59,1,4.68,4.68,-0.578,4.482,10pts smooth,-0.57692814,4.551641,500pts smooth
0.092,0,,-0.415,0,,4.512,-0.435,4.517,10pts smooth,-0.57620943,4.550333,500pts smooth
0.094,2,-0.24,-0.24,2,4.345,4.345,-0.269,4.478,10pts smooth,-0.57548618,4.5490346,500pts smooth
0.096,3,-0.007,-0.007,3,4.463,4.463,-0.143,4.41,10pts smooth,-0.57475823,4.5477457,500pts smooth
0.098,2,-0.025,-0.025,2,4.345,4.345,-0.178,4.354,10pts smooth,-0.57402557,4.5464668,500pts smooth
0.1,1,-0.49,-0.49,1,4.34,4.34,-0.232,4.291,10pts smooth,-0.57328796,4.545198,500pts smooth
0.102,4,-0.52,-0.52,4,4.225,4.225,-0.232,4.193,10pts smooth,-0.57254547,4.5439386,500pts smooth
0.104,1,0.17,0.17,1,4.01,4.01,-0.242,4.112,10pts smooth,-0.57179785,4.5426893,500pts smooth
0.106,3,-0.08,-0.08,3,4.12,4.12,-0.263,4.1,10pts smooth,-0.5710451,4.5414495,500pts smooth
0.108,2,-0.74,-0.74,2,4.1,4.1,-0.309,4.13,10pts smooth,-0.57028705,4.5402203,500pts smooth
0.11,3,-0.263,-0.263,3,4.25,4.25,-0.454,4.236,10pts smooth,-0.56952363,4.5390005,500pts smooth
0.112,3,-0.497,-0.497,3,4.317,4.317,-0.573,4.349,10pts smooth,-0.56875473,4.5377908,500pts smooth
0.114,2,-0.755,-0.755,2,4.5,4.5,-0.55,4.427,10pts smooth,-0.56798023,4.5365911,500pts smooth
0.116,3,-0.42,-0.42,3,4.44,4.44,-0.478,4.462,10pts smooth,-0.56720001,4.5354013,500pts smooth
0.118,1,-0.31,-0.31,1,4.37,4.37,-0.316,4.389,10pts smooth,-0.56641406,4.5342216,500pts smooth
0.12,3,-0.223,-0.223,3,4.377,4.377,-0.16,4.259,10pts smooth,-0.56562221,4.5330524,500pts smooth
0.122,2,0.005,0.005,2,4.01,4.01,-0.138,4.043,10pts smooth,-0.56482434,4.5318928,500pts smooth
0.124,4,-0.09,-0.09,4,3.83,3.83,-0.173,3.83,10pts smooth,-0.5640204,4.5307436,500pts smooth
0.126,3,-0.47,-0.47,3,3.717,3.717,-0.284,3.662,10pts smooth,-0.56321025,4.5296044,500pts smooth
0.128,4,-0.408,-0.408,4,3.512,3.512,-0.434,3.623,10pts smooth,-0.56239378,4.5284758,500pts smooth
0.13,4,-0.417,-0.417,4,3.728,3.728,-0.59,3.929,10pts smooth,-0.56157088,4.5273571,500pts smooth
0.132,3,-0.847,-0.847,3,4.257,4.257,-0.72,4.338,10pts smooth,-0.56074154,4.5262489,500pts smooth
0.134,3,-0.883,-0.883,3,5.097,5.097,-0.776,4.78,10pts smooth,-0.55990809,4.5251503,500pts smooth
0.136,2,-0.785,-0.785,2,5.225,5.225,-0.806,5.167,10pts smooth,-0.55907315,4.5240612,500pts smooth
0.138,1,-0.69,-0.69,1,5.2,5.2,-0.774,5.299,10pts smooth,-0.55823702,4.5229816,500pts smooth
0.14,1,-0.72,-0.72,1,5.3,5.3,-0.785,5.28,10pts smooth,-0.55739993,4.5219111,500pts smooth
0.142,3,-0.993,-0.993,3,5.147,5.147,-0.832,5.188,10pts smooth,-0.55656201,4.5208497,500pts smooth
0.144,1,-0.71,-0.71,1,5.19,5.19,-0.973,5.112,10pts smooth,-0.55572349,4.5197978,500pts smooth
0.146,3,-1.24,-1.24,3,4.93,4.93,-1.109,5.027,10pts smooth,-0.55488467,4.5187545,500pts smooth
0.148,4,-1.292,-1.292,4,4.957,4.957,-1.191,4.963,10pts smooth,-0.55404574,4.5177202,500pts smooth
0.15,2,-1.145,-1.145,2,5.01,5.01,-1.218,4.918,10pts smooth,-0.55320692,4.516695,500pts smooth
0.152,1,-1.09,-1.09,1,4.73,4.73,-1.077,4.917,10pts smooth,-0.55236834,4.5156789,500pts smooth
0.154,2,-1.03,-1.03,2,5.065,5.065,-0.899,4.92,10pts smooth,-0.55153036,4.5146713,500pts smooth
0.156,3,-0.723,-0.723,3,4.947,4.947,-0.742,4.901,10pts smooth,-0.55069315,4.5136719,500pts smooth
0.158,2,-0.405,-0.405,2,4.78,4.78,-0.658,4.877,10pts smooth,-0.5498569,4.5126815,500pts smooth
0.16,2,-0.975,-0.975,2,4.85,4.85,-0.858,4.84,10pts smooth,-0.54902184,4.5116997,500pts smooth
0.162,3,-0.657,-0.657,3,4.803,4.803,-1.081,4.8,10pts smooth,-0.54818821,4.5107265,500pts smooth
0.164,1,-1.85,-1.85,1,4.8,4.8,-1.114,4.768,10pts smooth,-0.54735619,4.5097613,500pts smooth
0.166,0,,-1.168,0,,4.747,-1.096,4.74,10pts smooth,-0.54652601,4.5088048,500pts smooth
0.168,3,-0.487,-0.487,3,4.693,4.693,-0.995,4.71,10pts smooth,-0.54569799,4.5078559,500pts smooth
0.17,2,-0.83,-0.83,2,4.66,4.66,-0.874,4.694,10pts smooth,-0.54487222,4.5069156,500pts smooth
0.172,1,-1.15,-1.15,1,4.72,4.72,-0.883,4.718,10pts smooth,-0.54404896,4.5059834,500pts smooth
0.174,2,-1.055,-1.055,2,4.75,4.75,-0.926,4.749,10pts smooth,-0.54322851,4.5050588,500pts smooth
0.176,1,-0.44,-0.44,1,4.85,4.85,-0.886,4.763,10pts smooth,-0.54241091,4.5041423,500pts smooth
0.178,1,-1.24,-1.24,1,4.7,4.7,-0.843,4.776,10pts smooth,-0.54159659,4.5032339,500pts smooth
0.18,2,-0.64,-0.64,2,4.775,4.775,-0.92,4.806,10pts smooth,-0.54078561,4.5023332,500pts smooth
0.182,2,-1.04,-1.04,2,4.82,4.82,-0.989,4.824,10pts smooth,-0.53997827,4.50144,500pts smooth
0.184,0,,-1.013,0,,4.827,-0.924,4.81,10pts smooth,-0.5391748,4.5005546,500pts smooth
0.186,2,-0.985,-0.985,2,4.835,4.835,-0.818,4.752,10pts smooth,-0.53837538,4.4996762,500pts smooth
0.188,1,-0.45,-0.45,1,4.66,4.66,-0.657,4.593,10pts smooth,-0.53758019,4.498806,500pts smooth
0.19,3,-0.457,-0.457,3,4.233,4.233,-0.501,4.408,10pts smooth,-0.5367896,4.4979429,500pts smooth
0.192,2,-0.575,-0.575,2,4.325,4.325,-0.466,4.248,10pts smooth,-0.53600365,4.497087,500pts smooth
0.194,2,-0.315,-0.315,2,4.055,4.055,-0.467,4.107,10pts smooth,-0.53522265,4.4962382,500pts smooth
0.196,3,-0.633,-0.633,3,4.057,4.057,-0.476,4.008,10pts smooth,-0.53444684,4.4953971,500pts smooth
0.198,4,-0.412,-0.412,4,3.942,3.942,-0.478,3.937,10pts smooth,-0.53367645,4.4945626,500pts smooth
0.2,0,,-0.43,0,,3.886,-0.447,3.907,10pts smooth,-0.5329116,4.4937353,500pts smooth
0.202,5,-0.448,-0.448,5,3.83,3.83,-0.383,3.902,10pts smooth,-0.53215259,4.4929152,500pts smooth
0.204,2,-0.275,-0.275,2,3.99,3.99,-0.252,3.927,10pts smooth,-0.53139961,4.4921017,500pts smooth
0.206,0,,-0.1,0,,3.975,-0.088,3.946,10pts smooth,-0.53065294,4.4912949,500pts smooth
0.208,2,0.075,0.075,2,3.96,3.96,0.045,3.962,10pts smooth,-0.52991271,4.4904947,500pts smooth
0.21,1,0.19,0.19,1,3.92,3.92,0.043,3.957,10pts smooth,-0.52917922,4.4897013,500pts smooth
0.212,0,,-0.035,0,,3.94,-0.007,3.942,10pts smooth,-0.52845263,4.4889145,500pts smooth
0.214,2,-0.26,-0.26,2,3.96,3.96,-0.08,3.915,10pts smooth,-0.52773321,4.4881344,500pts smooth
0.216,0,,-0.162,0,,3.902,-0.184,3.888,10pts smooth,-0.52702111,4.4873605,500pts smooth
0.218,3,-0.063,-0.063,3,3.843,3.843,-0.301,3.839,10pts smooth,-0.52631664,4.4865928,500pts smooth
0.22,3,-0.56,-0.56,3,3.813,3.813,-0.423,3.831,10pts smooth,-0.52561998,4.4858317,500pts smooth
0.222,0,,-0.62,0,,3.914,-0.601,3.969,10pts smooth,-0.52493131,4.4850764,500pts smooth
0.224,2,-0.68,-0.68,2,4.015,4.015,-0.737,4.157,10pts smooth,-0.52425092,4.4843273,500pts smooth
0.226,4,-0.79,-0.79,4,4.545,4.545,-0.659,4.396,10pts smooth,-0.523579,4.4835844,500pts smooth
0.228,3,-0.66,-0.66,3,4.657,4.657,-0.537,4.606,10pts smooth,-0.52291578,4.4828472,500pts smooth
0.23,0,,-0.365,0,,4.673,-0.486,4.666,10pts smooth,-0.52226144,4.4821162,500pts smooth
0.232,1,-0.07,-0.07,1,4.69,4.69,-0.464,4.656,10pts smooth,-0.52161622,4.481391,500pts smooth
0.234,2,-0.735,-0.735,2,4.415,4.415,-0.507,4.579,10pts smooth,-0.52098036,4.4806714,500pts smooth
0.236,1,-0.88,-0.88,1,4.62,4.62,-0.563,4.467,10pts smooth,-0.52035409,4.4799576,500pts smooth
0.238,3,-0.587,-0.587,3,4.327,4.327,-0.569,4.316,10pts smooth,-0.5197376,4.479249,500pts smooth
0.24,1,0,0,1,4.1,4.1,-0.579,4.173,10pts smooth,-0.51913106,4.4785461,500pts smooth
0.242,2,-0.985,-0.985,2,4.31,4.31,-0.69,4.091,10pts smooth,-0.51853484,4.477849,500pts smooth
0.244,4,-0.797,-0.797,4,3.657,3.657,-0.799,4.085,10pts smooth,-0.51794904,4.4771566,500pts smooth
0.246,4,-1,-1,4,4.313,4.313,-0.784,4.253,10pts smooth,-0.51737386,4.47647,500pts smooth
0.248,1,-0.64,-0.64,1,4.7,4.7,-0.723,4.473,10pts smooth,-0.51680964,4.4757886,500pts smooth
0.25,1,-0.54,-0.54,1,4.56,4.56,-0.641,4.698,10pts smooth,-0.51625651,4.475112,500pts smooth
0.252,2,-0.455,-0.455,2,4.955,4.955,-0.566,4.883,10pts smooth,-0.5157147,4.4744406,500pts smooth
0.254,1,-0.71,-0.71,1,4.97,4.97,-0.554,4.927,10pts smooth,-0.5151844,4.4737744,500pts smooth
0.256,3,-0.607,-0.607,3,4.897,4.897,-0.555,4.92,10pts smooth,-0.51466596,4.4731126,500pts smooth
0.258,4,-0.475,-0.475,4,4.875,4.875,-0.5,4.862,10pts smooth,-0.51415944,4.472456,500pts smooth
0.26,4,-0.448,-0.448,4,4.747,4.747,-0.483,4.793,10pts smooth,-0.51366514,4.4718041,500pts smooth
0.262,3,-0.5,-0.5,3,4.753,4.753,-0.616,4.774,10pts smooth,-0.5131833,4.4711571,500pts smooth
0.264,4,-0.78,-0.78,4,4.808,4.808,-0.805,4.776,10pts smooth,-0.51271415,4.4705143,500pts smooth
0.266,2,-1.16,-1.16,2,4.795,4.795,-1.048,4.818,10pts smooth,-0.51224655,4.4698811,500pts smooth
0.268,5,-1.236,-1.236,5,4.85,4.85,-1.262,4.864,10pts smooth,-0.51176971,4.4692621,500pts smooth
0.27,4,-1.435,-1.435,4,4.92,4.92,-1.342,4.886,10pts smooth,-0.51128423,4.468657,500pts smooth
0.272,1,-1.24,-1.24,1,4.92,4.92,-1.332,4.891,10pts smooth,-0.51079053,4.4680657,500pts smooth
0.274,5,-1.292,-1.292,5,4.812,4.812,-1.261,4.876,10pts smooth,-0.51028925,4.4674878,500pts smooth
0.276,1,-1.04,-1.04,1,4.86,4.86,-1.148,4.833,10pts smooth,-0.50978082,4.4669228,500pts smooth
0.278,2,-1.155,-1.155,2,4.79,4.79,-0.981,4.77,10pts smooth,-0.50926584,4.4663711,500pts smooth
0.28,0,,-0.778,0,,4.685,-0.687,4.681,10pts smooth,-0.50874484,4.4658318,500pts smooth
0.282,0,,-0.402,0,,4.58,-0.428,4.581,10pts smooth,-0.50821829,4.4653049,500pts smooth
0.284,2,-0.025,-0.025,2,4.475,4.475,-0.392,4.486,10pts smooth,-0.50768673,4.4647903,500pts smooth
0.286,0,,-0.422,0,,4.388,-0.43,4.395,10pts smooth,-0.50715071,4.4642882,500pts smooth
0.288,1,-0.82,-0.82,1,4.3,4.3,-0.54,4.287,10pts smooth,-0.50661081,4.4637971,500pts smooth
0.29,2,-0.885,-0.885,2,4.38,4.38,-0.676,4.225,10pts smooth,-0.50606751,4.4633179,500pts smooth
0.292,1,-0.19,-0.19,1,3.94,3.94,-0.714,4.301,10pts smooth,-0.5055213,4.4628496,500pts smooth
0.294,3,-0.947,-0.947,3,4.5,4.5,-0.724,4.416,10pts smooth,-0.50497276,4.4623923,500pts smooth
0.296,2,-0.965,-0.965,2,4.67,4.67,-0.812,4.557,10pts smooth,-0.50442243,4.461946,500pts smooth
0.298,1,-0.52,-0.52,1,4.79,4.79,-0.849,4.683,10pts smooth,-0.50387084,4.4615102,500pts smooth
0.3,1,-1.03,-1.03,1,4.5,4.5,-0.652,4.684,10pts smooth,-0.50331849,4.4610844,500pts smooth
0.302,1,-0.42,-0.42,1,4.73,4.73,-0.395,4.635,10pts smooth,-0.50276589,4.4606686,500pts smooth
0.304,1,0.1,0.1,1,4.6,4.6,-0.103,4.572,10pts smooth,-0.50221366,4.4602628,500pts smooth
0.306,2,0.07,0.07,2,4.455,4.455,0.065,4.479,10pts smooth,-0.50166219,4.459866,500pts smooth
0.308,0,,0.11,0,,4.408,0.092,4.394,10pts smooth,-0.50111216,4.4594789,500pts smooth
0.31,1,0.15,0.15,1,4.36,4.36,-0.264,4.398,10pts smooth,-0.50056398,4.4591007,500pts smooth
0.312,1,-0.92,-0.92,1,4.2,4.2,-0.647,4.403,10pts smooth,-0.50001824,4.4587317,500pts smooth
0.314,1,-1.14,-1.14,1,4.68,4.68,-0.778,4.345,10pts smooth,-0.49947551,4.4583707,500pts smooth
0.316,1,-0.87,-0.87,1,4.3,4.3,-0.804,4.267,10pts smooth,-0.49893621,4.4580178,500pts smooth
0.318,1,-0.36,-0.36,1,3.92,3.92,-0.641,4.162,10pts smooth,-0.49840096,4.4576735,500pts smooth
0.32,2,-0.24,-0.24,2,4.075,4.075,-0.432,4.045,10pts smooth,-0.49787027,4.4573369,500pts smooth
0.322,2,-0.395,-0.395,2,3.945,3.945,-0.337,3.959,10pts smooth,-0.49734461,4.4570074,500pts smooth
0.324,1,-0.7,-0.7,1,4.12,4.12,-0.252,3.876,10pts smooth,-0.49682459,4.4566855,500pts smooth
0.326,1,0.21,0.21,1,3.55,3.55,-0.071,3.75,10pts smooth,-0.49631071,4.4563708,500pts smooth
0.328,1,0.07,0.07,1,3.58,3.58,0.075,3.617,10pts smooth,-0.49580351,4.4560628,500pts smooth
0.33,1,0.2,0.2,1,3.6,3.6,0.07,3.462,10pts smooth,-0.49530348,4.455761,500pts smooth
0.332,1,-0.16,-0.16,1,3.46,3.46,-0.065,3.375,10pts smooth,-0.49481121,4.4554658,500pts smooth
0.334,1,-0.31,-0.31,1,3.24,3.24,-0.458,3.453,10pts smooth,-0.49432716,4.4551768,500pts smooth
0.336,3,-0.767,-0.767,3,3.453,3.453,-0.877,3.63,10pts smooth,-0.49385193,4.4548936,500pts smooth
0.338,2,-1.52,-1.52,2,4.18,4.18,-1.223,3.976,10pts smooth,-0.493386,4.4546161,500pts smooth
0.34,0,,-1.375,0,,4.428,-1.293,4.386,10pts smooth,-0.49292994,4.4543438,500pts smooth
0.342,0,,-1.23,0,,4.677,-1.243,4.752,10pts smooth,-0.49248421,4.4540763,500pts smooth
0.344,2,-1.085,-1.085,2,4.925,4.925,-1.05,4.867,10pts smooth,-0.49204943,4.453814,500pts smooth
0.346,1,-0.52,-0.52,1,5.2,5.2,-0.858,4.898,10pts smooth,-0.49162605,4.4535561,500pts smooth
0.348,1,-1.08,-1.08,1,4.42,4.42,-0.86,4.869,10pts smooth,-0.49121466,4.4533029,500pts smooth
0.35,2,-0.71,-0.71,2,5.01,5.01,-0.913,4.812,10pts smooth,-0.49081576,4.4530535,500pts smooth
0.352,1,-1.33,-1.33,1,4.76,4.76,-0.986,4.815,10pts smooth,-0.49042991,4.4528079,500pts smooth
0.354,3,-0.803,-0.803,3,4.87,4.87,-1.066,4.835,10pts smooth,-0.49005759,4.4525661,500pts smooth
0.356,3,-1.237,-1.237,3,4.78,4.78,-1.13,4.849,10pts smooth,-0.48969933,4.4523277,500pts smooth
0.358,1,-1.1,-1.1,1,4.91,4.91,-1.18,4.861,10pts smooth,-0.48935571,4.4520926,500pts smooth
0.36,0,,-1.215,0,,4.895,-1.23,4.889,10pts smooth,-0.48902726,4.45186,500pts smooth
0.362,1,-1.33,-1.33,1,4.88,4.88,-1.218,4.91,10pts smooth,-0.48871446,4.4516306,500pts smooth
0.364,0,,-1.085,0,,4.9,-1.013,4.896,10pts smooth,-0.48841786,4.4514031,500pts smooth
0.366,2,-0.84,-0.84,2,4.92,4.92,-0.777,4.863,10pts smooth,-0.48813799,4.4511776,500pts smooth
0.368,2,-0.34,-0.34,2,4.825,4.825,-0.588,4.811,10pts smooth,-0.4878754,4.4509544,500pts smooth
0.37,1,-0.37,-0.37,1,4.67,4.67,-0.452,4.756,10pts smooth,-0.48763058,4.4507327,500pts smooth
0.372,1,-0.73,-0.73,1,4.71,4.71,-0.494,4.721,10pts smooth,-0.48740411,4.4505129,500pts smooth
0.374,2,-0.335,-0.335,2,4.74,4.74,-0.573,4.686,10pts smooth,-0.48719648,4.4502935,500pts smooth
0.376,2,-0.88,-0.88,2,4.7,4.7,-0.59,4.642,10pts smooth,-0.48700824,4.4500756,500pts smooth
0.378,3,-0.43,-0.43,3,4.543,4.543,-0.592,4.6,10pts smooth,-0.48683989,4.4498582,500pts smooth
0.38,3,-0.5,-0.5,3,4.47,4.47,-0.559,4.573,10pts smooth,-0.48669201,4.4496412,500pts smooth
0.382,1,-0.63,-0.63,1,4.68,4.68,-0.504,4.55,10pts smooth,-0.48656508,4.4494243,500pts smooth
0.384,3,-0.533,-0.533,3,4.447,4.447,-0.435,4.531,10pts smooth,-0.48645967,4.4492073,500pts smooth
0.386,1,-0.07,-0.07,1,4.6,4.6,-0.35,4.502,10pts smooth,-0.48637629,4.4489903,500pts smooth
0.388,1,-0.48,-0.48,1,4.42,4.42,-0.195,4.435,10pts smooth,-0.48631546,4.4487724,500pts smooth
0.39,4,0.008,0.008,4,4.287,4.287,-0.06,4.361,10pts smooth,-0.48627773,4.448554,500pts smooth
0.392,2,-0.01,-0.01,2,4.32,4.32,-0.062,4.301,10pts smooth,-0.4862636,4.4483347,500pts smooth
0.394,2,0.005,0.005,2,4.295,4.295,-0.133,4.247,10pts smooth,-0.48627365,4.4481139,500pts smooth
0.396,1,0.03,0.03,1,4.08,4.08,-0.323,4.207,10pts smooth,-0.48630837,4.4478912,500pts smooth
0.398,2,-1.185,-1.185,2,4.25,4.25,-0.463,4.139,10pts smooth,-0.4863683,4.4476671,500pts smooth
0.4,3,-0.43,-0.43,3,4.133,4.133,-0.315,3.99,10pts smooth,-0.48641893,4.4474645,500pts smooth
0.402,1,0.25,0.25,1,3.74,3.74,-0.107,3.84,10pts smooth,-0.4864265,4.4473052,500pts smooth
0.404,2,0.245,0.245,2,3.445,3.445,0.171,3.707,10pts smooth,-0.48639271,4.4471879,500pts smooth
0.406,2,0.18,0.18,2,3.895,3.895,0.202,3.605,10pts smooth,-0.48631927,4.4471116,500pts smooth
0.408,3,-0.02,-0.02,3,3.6,3.6,0.124,3.558,10pts smooth,-0.48620787,4.4470749,500pts smooth
0.41,4,0.178,0.178,4,3.402,3.402,-0.046,3.583,10pts smooth,-0.48606017,4.4470768,500pts smooth
0.412,4,-0.405,-0.405,4,3.677,3.677,-0.262,3.681,10pts smooth,-0.48587787,4.4471164,500pts smooth
0.414,3,-0.353,-0.353,3,3.807,3.807,-0.505,3.932,10pts smooth,-0.4856627,4.4471912,500pts smooth
0.416,5,-0.944,-0.944,5,4.43,4.43,-0.734,4.214,10pts smooth,-0.48541632,4.4473014,500pts smooth
0.418,5,-0.87,-0.87,5,4.518,4.518,-0.874,4.42,10pts smooth,-0.48514041,4.4474444,500pts smooth
0.42,0,,-0.886,0,,4.5,-0.976,4.619,10pts smooth,-0.4848367,4.4476199,500pts smooth
0.422,4,-0.903,-0.903,4,4.482,4.482,-1.041,4.831,10pts smooth,-0.48450685,4.4478264,500pts smooth
0.424,7,-1.266,-1.266,7,5.359,5.359,-1.054,4.991,10pts smooth,-0.48415256,4.4480624,500pts smooth
0.426,8,-1.196,-1.196,8,5.265,5.265,-0.975,5.04,10pts smooth,-0.4837755,4.4483271,500pts smooth
0.428,3,-0.597,-0.597,3,4.813,4.813,-0.892,5.04,10pts smooth,-0.4833774,4.4486189,500pts smooth
0.43,6,-0.758,-0.758,6,4.812,4.812,-0.898,4.976,10pts smooth,-0.48295996,4.4489365,500pts smooth
0.432,7,-1.01,-1.01,7,5.019,5.019,-0.929,4.907,10pts smooth,-0.48252481,4.4492788,500pts smooth
0.434,4,-1.058,-1.058,4,4.957,4.957,-1.008,4.945,10pts smooth,-0.48207369,4.449645,500pts smooth
0.436,2,-1.215,-1.215,2,5.01,5.01,-1.053,4.984,10pts smooth,-0.4816083,4.4500327,500pts smooth
0.438,3,-0.833,-0.833,3,4.913,4.913,-0.931,4.952,10pts smooth,-0.4811303,4.4504418,500pts smooth
0.44,0,,-0.732,0,,4.904,-0.765,4.895,10pts smooth,-0.48064139,4.4508705,500pts smooth
0.442,2,-0.63,-0.63,2,4.895,4.895,-0.606,4.806,10pts smooth,-0.48014328,4.4513173,500pts smooth
0.444,1,-0.47,-0.47,1,4.65,4.65,-0.469,4.721,10pts smooth,-0.47963762,4.4517817,500pts smooth
0.446,0,,-0.395,0,,4.645,-0.403,4.669,10pts smooth,-0.47912616,4.4522619,500pts smooth
0.448,1,-0.32,-0.32,1,4.64,4.64,-0.384,4.648,10pts smooth,-0.47861052,4.4527564,500pts smooth
0.45,0,,-0.439,0,,4.71,-0.447,4.719,10pts smooth,-0.47809246,4.4532647,500pts smooth
