Core,Age,Oxygen,delW,sea_level,age_ka,sea_level_smooth
Vema 1930,0,2.87,0.14,-10.86,980,-33
Vema 1930,1.31,2.84,0.11,-8.46,1000,-32.2
Vema 1930,2.84,2.67,-0.06,5.14,1020,-31.5
Vema 1930,3.57,2.79,0.06,-4.46,1040,-30.8
Vema 1930,4.31,2.63,-0.1,8.34,1060,-30.1
Vema 1930,5.45,2.76,0.03,-2.06,1080,-29.4
Vema 1930,6.13,2.75,0.02,-1.26,1100,-28.7
Vema 1930,6.77,2.65,-0.08,6.74,1120,-28
Vema 1930,7.71,2.92,0.19,-14.86,1140,-27.3
Vema 1930,8.9,2.92,0.19,-14.86,1160,-26.6
Vema 1930,9.48,2.88,0.15,-11.66,1180,-25.9
Vema 1930,10.03,2.89,0.16,-12.46,1200,-25.3
Vema 1930,10.55,2.82,0.09,-6.86,1220,-24.8
Vema 1930,10.98,2.84,0.11,-8.46,1240,-24.4
Vema 1930,11.5,2.82,0.09,-6.86,1260,-24.1
Vema 1930,11.88,3.21,0.48,-38.06,1280,-23.8
Vema 1930,12.26,3.05,0.32,-25.26,1300,-23.6
Vema 1930,12.6,3.23,0.5,-39.66,1320,-23.3
Vema 1930,12.92,2.78,0.05,-3.66,1340,-23.1
Vema 1930,13.24,3.34,0.61,-48.46,1360,-22.9
Vema 1930,13.54,3.26,0.23,-18.03,1380,-22.7
Vema 1930,13.84,3.23,0.2,-15.63,1400,-22.6
Vema 1930,14.13,3.25,0.22,-17.23,1420,-22.5
Vema 1930,14.43,3.74,0.71,-56.43,1440,-22.5
Vema 1930,14.73,3.46,0.43,-34.03,1460,-22.7
Vema 1930,15.02,3.61,0.58,-46.03,1480,-22.9
Vema 1930,15.31,3.52,0.49,-38.83,1500,-23.2
Vema 1930,15.59,3.8,0.77,-61.23,1520,-23.5
Vema 1930,15.88,4.09,1.06,-84.43,1540,-23.8
Vema 1930,16.16,4,0.97,-77.23,1560,-24
Vema 1930,16.54,4.2,1.17,-93.23,1580,-24.2
Vema 1930,16.83,4.27,1.24,-98.83,1600,-24.2
Vema 1930,17.11,4.28,1.25,-99.63,1620,-24.2
Vema 1930,17.39,4.19,1.16,-92.43,1640,-24.1
Vema 1930,17.67,4.15,1.12,-89.23,1660,-24
Vema 1930,17.95,4.58,1.55,-123.63,1680,-23.8
Vema 1930,18.23,4.56,1.53,-122.03,1700,-23.6
Vema 1930,18.5,4.44,1.41,-112.43,1720,-23.4
Vema 1930,18.76,4.35,1.32,-105.23,1740,-23.2
Vema 1930,19.03,4.51,1.48,-118.03,1760,-22.9
Vema 1930,19.26,4.49,1.46,-116.43,1780,-22.7
Vema 1930,19.53,4.36,1.33,-106.03,1800,-22.5
Vema 1930,19.77,4.34,1.31,-104.43,1820,-22.3
Vema 1930,20,4.23,1.2,-95.63,1840,-22
Vema 1930,20.24,4.48,1.45,-115.63,1860,-21.7
Vema 1930,20.47,4.5,1.47,-117.23,1880,-21.4
Vema 1930,20.84,4.32,1.29,-102.83,1900,-21.2
Vema 1930,21.13,4.31,1.28,-102.03,1920,-21
Vema 1930,21.34,4.43,1.4,-111.63,1940,-21
Vema 1930,21.55,4.46,1.43,-114.03,1960,-21.1
Vema 1930,21.76,4.25,1.22,-97.23,1980,-21.3
Vema 1930,21.96,4.41,1.38,-110.03,2000,-21.7
Vema 1930,22.17,4.35,1.32,-105.23,2020,-22.2
Vema 1930,22.37,4.36,1.33,-106.03,2040,-22.7
Vema 1930,22.57,4.25,1.22,-97.23,2060,-23.3
Vema 1930,22.77,4.25,1.22,-97.23,2080,-23.7
Vema 1930,22.97,4.32,1.29,-102.83,2100,-24
Vema 1930,23.17,4.32,1.29,-102.83,2120,-24.2
Vema 1930,23.37,4.34,1.31,-104.43,2140,-24.1
Vema 1930,23.57,4.29,1.26,-100.43,2160,-23.8
Vema 1930,23.77,4.29,1.26,-100.43,2180,-23.4
Vema 1930,23.97,4.48,1.45,-115.63,2200,-22.8
Vema 1930,24.17,4.32,1.29,-102.83,2220,-22
Vema 1930,24.37,4.33,1.3,-103.63,2240,-21.3
Vema 1930,24.58,4.3,1.27,-101.23,2260,-20.5
Vema 1930,24.79,4.23,1.2,-95.63,2280,-19.9
Vema 1930,25,4.32,1.29,-102.83,2300,-19.3
Vema 1930,25.22,4.41,1.38,-110.03,2320,-18.9
Vema 1930,25.45,4.27,1.24,-98.83,2340,-18.6
Vema 1930,25.67,4.14,1.11,-88.43,2360,-18.6
Vema 1930,25.9,4.28,1.25,-99.63,2380,-18.7
Vema 1930,26.14,4.42,1.39,-110.83,2400,-19
Vema 1930,26.37,4.28,1.25,-99.63,2420,-19.4
Vema 1930,26.62,4.19,1.16,-92.43,2440,-19.8
Vema 1930,26.88,4.12,1.09,-86.83,2460,-20.2
Vema 1930,27.13,4.17,1.14,-90.83,2480,-20.4
Vema 1930,27.4,4.17,1.14,-90.83,2500,-20.5
Vema 1930,27.68,4.23,1.2,-95.63,2520,-20.3
Vema 1930,27.95,4.12,1.09,-86.83,2540,-20
Vema 1930,28.25,4.2,1.17,-93.23,2560,-19.4
Vema 1930,28.55,4.09,1.06,-84.43,2580,-18.6
Vema 1930,28.85,3.98,0.95,-75.63,2600,-17.7
Vema 1930,29.17,3.91,0.88,-70.03,2620,-16.7
Vema 1930,29.48,3.89,0.86,-68.43,2640,-15.7
Vema 1930,29.81,4.05,1.02,-81.23,2660,-14.6
Vema 1930,30.14,4,0.97,-77.23,2680,-13.6
Vema 1930,30.47,4.03,1,-79.63,2700,-12.7
Vema 1930,30.81,3.99,0.96,-76.43,2720,-11.9
Vema 1930,31.16,3.71,0.68,-54.03,2740,-11.3
Vema 1930,31.51,3.92,0.89,-70.83,2760,-10.8
Vema 1930,31.86,3.88,0.85,-67.63,2780,-10.4
Vema 1930,32.22,3.95,0.92,-73.23,2800,-10.2
Vema 1930,32.57,3.92,0.89,-70.83,2820,-9.9
Vema 1930,32.94,4.01,0.98,-78.03,2840,-9.7
Vema 1930,33.29,3.99,0.96,-76.43,2860,-9.3
Vema 1930,33.67,3.98,0.95,-75.63,2880,-8.9
Vema 1930,34.05,3.89,0.86,-68.43,2900,-8.3
Vema 1930,34.45,3.96,0.93,-74.03,2920,-7.6
Vema 1930,34.8,4,0.97,-77.23,2940,-6.9
Vema 1930,35.18,4.1,1.07,-85.23,2960,-6.1
Vema 1930,35.56,3.91,0.88,-70.03,2980,-5.4
Vema 1930,35.94,4.09,1.06,-84.43,3000,-4.8
Vema 1930,36.33,3.88,0.85,-67.63,3020,-4.3
Vema 1930,37.11,3.91,0.88,-70.03,3040,-4.1
Vema 1930,37.5,3.86,0.83,-66.03,3060,-4
Vema 1930,37.89,3.85,0.82,-65.23,3080,-4.1
Vema 1930,38.29,3.77,0.74,-58.83,3100,-4.3
Vema 1930,38.68,3.95,0.92,-73.23,3120,-4.6
Vema 1930,39.08,3.85,0.82,-65.23,3140,-4.9
Vema 1930,39.48,4.01,0.98,-78.03,3160,-5.1
Vema 1930,39.88,3.99,0.96,-76.43,3180,-5.4
Vema 1930,40.28,4.07,1.04,-82.83,3200,-5.6
Vema 1930,41.09,3.83,0.8,-63.63,3220,-5.7
Vema 1930,41.49,3.89,0.86,-68.43,3240,-5.8
Vema 1930,41.9,3.89,0.86,-68.43,3260,-5.7
Vema 1930,42.31,3.94,0.91,-72.43,3280,-5.5
Vema 1930,42.71,3.98,0.95,-75.63,3300,-5.2
Vema 1930,43.53,3.95,0.92,-73.23,3320,-4.6
Vema 1930,46.01,3.88,0.85,-67.63,3340,-3.8
Vema 1930,46.43,3.89,0.86,-68.43,3360,-2.7
Vema 1930,46.85,4.02,0.99,-78.83,3380,-1.4
Vema 1930,47.68,3.7,0.67,-53.23,3400,0.1
Vema 1930,48.1,3.65,0.62,-49.23,3420,1.6
Vema 1930,48.52,3.72,0.69,-54.83,3440,3.1
Vema 1930,48.94,3.62,0.59,-46.83,3460,4.5
Vema 1930,49.36,3.9,0.87,-69.23,3480,5.7
Vema 1930,50.2,3.9,0.87,-69.23,3500,6.8
Vema 1930,50.62,3.84,0.81,-64.43,3520,7.7
Vema 1930,51.04,3.85,0.82,-65.23,3540,8.4
Vema 1930,51.47,3.87,0.84,-66.83,3560,9
Vema 1930,51.89,3.9,0.87,-69.23,3580,9.5
Vema 1930,52.31,3.97,0.94,-74.83,3600,10
Vema 1930,52.74,3.93,0.9,-71.63,3620,10.5
Vema 1930,53.16,3.91,0.88,-70.03,3640,11.1
Vema 1930,53.59,3.81,0.78,-62.03,3660,11.6
Vema 1930,54.15,3.81,0.78,-62.03,3680,12.2
Vema 1930,54.3,3.78,0.75,-59.63,3700,12.7
Vema 1930,54.37,3.42,0.39,-30.83,3720,13.2
Vema 1930,54.79,3.56,0.53,-42.03,3740,13.7
Vema 1930,55.22,3.69,0.66,-52.43,3760,13.9
Vema 1930,55.65,3.67,0.64,-50.83,3780,14.1
Vema 1930,56.07,3.76,0.73,-58.03,3800,14
Vema 1930,56.5,3.5,0.47,-37.23,3820,13.8
Vema 1930,56.93,3.84,0.81,-64.43,3840,13.3
Vema 1930,57.36,3.82,0.79,-62.83,3860,12.6
Vema 1930,57.79,3.8,0.77,-61.23,3880,11.6
Vema 1930,58.21,4.06,1.03,-82.03,3900,10.6
Vema 1930,58.64,4.05,1.02,-81.23,3920,9.4
Vema 1930,59.07,3.96,0.93,-74.03,3940,8.2
Vema 1930,59.5,3.87,0.84,-66.83,3960,7.1
Vema 1930,59.93,4.05,1.02,-81.23,3980,6.1
Vema 1930,60.36,3.98,0.95,-75.63,4000,5.4
Vema 1930,60.79,3.89,0.86,-68.43,4020,4.9
Vema 1930,61.22,4.01,0.98,-78.03,4040,4.8
Vema 1930,62.08,3.99,0.96,-76.43,4060,4.9
Vema 1930,62.94,4.05,1.02,-81.23,4080,5.2
Vema 1930,63.37,3.97,0.94,-74.83,4100,5.6
Vema 1930,63.8,3.93,0.9,-71.63,4120,6.2
Vema 1930,64.23,4.02,0.99,-78.83,4140,6.8
Vema 1930,64.66,3.97,0.94,-74.83,4160,7.3
Vema 1930,65.09,3.92,0.89,-70.83,4180,7.8
Vema 1930,65.52,3.94,0.91,-72.43,4200,8.2
Vema 1930,65.96,4.02,0.99,-78.83,4220,8.5
Vema 1930,66.39,3.96,0.93,-74.03,4240,8.6
Vema 1930,66.83,3.83,0.8,-63.63,4260,8.6
Vema 1930,67.77,3.99,0.96,-76.43,4280,8.5
Vema 1930,68.21,3.95,0.92,-73.23,4300,8.2
Vema 1930,68.66,3.84,0.81,-64.43,4320,7.7
Vema 1930,69.1,3.81,0.78,-62.03,4340,7.1
Vema 1930,69.55,3.77,0.74,-58.83,4360,6.5
Vema 1930,70.02,3.81,0.78,-62.03,4380,5.7
Vema 1930,70.49,3.83,0.8,-63.63,4400,5
Vema 1930,71.19,3.86,0.83,-66.03,4420,4.2
Vema 1930,71.77,3.69,0.66,-52.43,4440,3.5
Vema 1930,72.36,3.54,0.51,-40.43,4460,2.8
Vema 1930,73.05,3.56,0.53,-42.03,4480,2.1
Vema 1930,73.77,3.62,0.59,-46.83,4500,1.5
Vema 1930,74.49,3.74,0.71,-56.43,4520,0.9
Vema 1930,75.25,3.7,0.67,-53.23,4540,0.2
Vema 1930,76.01,3.54,0.51,-40.43,4560,-0.4
Vema 1930,76.78,3.58,0.55,-43.63,4580,-1.1
Vema 1930,77.57,3.53,0.5,-39.63,4600,-1.8
Vema 1930,78.36,3.49,0.46,-36.43,4620,-2.5
Vema 1930,79.15,3.41,0.38,-30.03,4640,-3.1
Vema 1930,79.95,3.39,0.36,-28.43,4660,-3.8
Vema 1930,80.76,3.4,0.37,-29.23,4680,-4.4
Vema 1930,81.56,3.35,0.32,-25.23,4700,-5
Vema 1930,82.37,3.3,0.27,-21.23,4720,-5.5
Vema 1930,83.19,3.39,0.36,-28.43,4740,-6
Vema 1930,84,3.39,0.36,-28.43,4760,-6.5
Vema 1930,84.82,3.53,0.5,-39.63,4780,-7
Vema 1930,85.64,3.48,0.45,-35.63,4800,-7.4
Vema 1930,86.46,3.65,0.62,-49.23,4820,-7.6
Vema 1930,87.29,3.68,0.65,-51.63,4840,-7.8
Vema 1930,88.12,3.72,0.69,-54.83,4860,-7.9
Vema 1930,88.95,3.79,0.76,-60.43,4880,-7.8
Vema 1930,89.8,3.59,0.56,-44.43,4900,-7.6
Vema 1930,90.64,3.71,0.68,-54.03,4920,-7.2
Vema 1930,91.5,3.69,0.66,-52.43,4940,-6.7
Vema 1930,92.66,3.48,0.45,-35.63,4960,-6.2
Vema 1930,93.54,3.45,0.42,-33.23,4980,-5.6
Vema 1930,94.46,3.42,0.39,-30.83,5000,-4.9
Vema 1930,95.37,3.55,0.52,-41.23,5020,-4.3
Vema 1930,96.3,3.49,0.46,-36.43,5040,-3.8
Vema 1930,97.25,3.39,0.36,-28.43,5060,-3.3
Vema 1930,98.2,3.37,0.34,-26.83,5080,-2.9
Vema 1930,99.16,3.4,0.37,-29.23,5100,-2.6
Vema 1930,100.12,3.41,0.38,-30.03,5120,-2.5
Vema 1930,101.08,3.43,0.4,-31.63,5140,-2.4
Vema 1930,102.01,3.34,0.31,-24.43,5160,-2.5
Vema 1930,102.95,3.53,0.5,-39.63,5180,-2.6
Vema 1930,103.88,3.6,0.57,-45.23,5200,-2.9
Vema 1930,104.89,3.56,0.53,-42.03,5220,-3.2
Vema 1930,105.76,3.57,0.54,-42.83,5240,-3.7
Vema 1930,106.61,3.5,0.47,-37.23,5260,-4.1
Vema 1930,107.93,3.88,0.85,-67.63,5280,-4.6
Vema 1930,108.46,3.65,0.62,-49.23,5300,-5.1
Vema 1930,109.23,3.7,0.67,-53.23,5320,-5.6
Vema 1930,110.24,3.75,0.72,-57.23,5340,-6.1
Vema 1930,111,3.73,0.7,-55.63,5360,-6.4
Vema 1930,111.77,3.37,0.34,-26.83,5380,-6.7
Vema 1930,112.53,3.37,0.34,-26.83,5400,-6.9
Vema 1930,113.58,3.34,0.31,-24.43,5420,-7.1
Vema 1930,114.4,3.13,0.1,-7.63,5440,-7.1
Vema 1930,115.5,3.07,0.04,-2.83,5460,-7.2
Vema 1930,116.42,3.36,0.33,-26.03,5480,-7.1
Vema 1930,117.34,2.91,0.18,-14.06,5500,-7
Vema 1930,118.61,2.77,0.04,-2.86,5520,-6.9
Vema 1930,119.61,2.72,-0.01,1.14,5540,-6.7
Vema 1930,120.61,2.83,0.1,-7.66,5560,-6.4
Vema 1930,122,2.78,0.05,-3.66,5580,-6.2
Vema 1930,123.05,2.68,-0.05,4.34,5600,-5.8
Vema 1930,124.1,2.95,0.22,-17.26,5620,-5.5
Vema 1930,125.52,2.77,0.04,-2.86,5640,-5.2
Vema 1930,126.58,2.71,-0.02,1.94,5660,-4.8
Vema 1930,127.61,2.81,0.08,-6.06,5680,-4.4
Vema 1930,128.96,2.94,0.21,-16.46,5700,-4.1
Vema 1930,129.95,2.89,0.16,-12.46,5720,-3.8
Vema 1930,130.81,3.46,0.73,-58.06,5740,-3.6
Vema 1930,131.96,3.59,0.56,-44.43,5760,-3.4
Vema 1930,132.75,3.36,0.33,-26.03,5780,-3.2
Vema 1930,133.47,3.84,0.81,-64.43,5800,-3.2
846 Liseicki,134.54,4.07,1.04,-82.82,5820,-3.2
846 Liseicki,137.69,4.24,1.21,-96.42,5840,-3.3
846 Liseicki,140.26,3.73,0.7,-55.63,5860,-3.5
846 Liseicki,142.27,4.06,1.03,-82.02,5880,-3.8
846 Liseicki,144.25,4.12,1.09,-86.82,5900,-4.1
846 Liseicki,146.32,4.05,1.02,-81.22,5920,-4.5
846 Liseicki,148.21,3.97,0.94,-74.83,5940,-4.8
846 Liseicki,150.1,3.83,0.8,-63.63,5960,-5.2
846 Liseicki,151.99,3.95,0.92,-73.63,5980,-5.6
846 Liseicki,153.88,3.89,0.86,-68.43,6000,-6
846 Liseicki,156.19,4.02,0.99,-79.22,6020,-6.4
846 Liseicki,158.49,4.03,1,-80.02,6040,-6.8
846 Liseicki,161.04,4.02,0.99,-78.82,6060,-7.1
846 Liseicki,163.34,3.93,0.9,-71.63,6080,-7.5
846 Liseicki,165.65,3.83,0.8,-63.63,6100,-7.8
846 Liseicki,167.95,3.79,0.76,-60.83,6120,-8.1
846 Liseicki,170.22,3.75,0.72,-57.23,6140,-8.3
846 Liseicki,172.14,3.66,0.63,-50.43,6160,-8.5
846 Liseicki,174.15,3.62,0.59,-46.83,6180,-8.7
846 Liseicki,176.24,3.6,0.57,-45.23,6200,-8.8
846 Liseicki,178.87,3.68,0.65,-52.03,6220,-8.8
846 Liseicki,182,3.66,0.63,-50.03,6240,-8.9
846 Liseicki,185.12,3.66,0.63,-50.03,6260,-8.9
846 Liseicki,187.78,3.82,0.79,-62.83,6280,-8.9
846 Liseicki,190.21,3.43,0.39,-31.23,6300,-9
846 Liseicki,192.16,3.32,0.28,-22.43,6320,-9.1
846 Liseicki,194.85,3.39,0.36,-28.43,6340,-9.3
846 Liseicki,197.28,3.36,0.33,-26.03,6360,-9.4
846 Liseicki,200.3,2.99,-0.05,3.96,6380,-9.6
846 Liseicki,203.53,3.18,0.14,-11.26,6400,-9.8
846 Liseicki,206.93,3.07,0.04,-2.88,6420,-10
846 Liseicki,210.1,2.96,0.23,-18.07,6440,-10.1
846 Liseicki,213.09,2.89,0.16,-12.47,6460,-10.2
846 Liseicki,216.21,2.82,0.08,-6.47,6480,-10.2
846 Liseicki,219.08,3.16,0.42,-33.67,6500,-10.2
846 Liseicki,221.58,3.68,0.95,-76.06,6520,-10.1
846 Liseicki,224.39,3.77,0.74,-58.99,6540,-9.9
846 Liseicki,227.52,3.43,0.4,-31.82,6560,-9.7
846 Liseicki,230.36,3.55,0.52,-41.83,6580,-9.4
846 Liseicki,233.49,3.42,0.38,-30.66,6600,-9
846 Liseicki,236.33,3.21,0.17,-13.88,6620,-8.7
846 Liseicki,240.09,3.09,0.06,-4.7,6640,-8.4
846 Liseicki,243.14,3.1,0.07,-5.52,6660,-8.1
846 Liseicki,245.31,3.52,0.49,-39.53,6680,-7.9
846 Liseicki,247.62,3.51,0.48,-38.35,6700,-7.7
846 Liseicki,250.06,3.78,0.75,-59.96,6720,-7.6
846 Liseicki,252.27,3.88,0.85,-68.38,6740,-7.6
846 Liseicki,254.47,3.82,0.79,-63.59,6760,-7.6
846 Liseicki,256.92,3.87,0.84,-67.21,6780,-7.6
846 Liseicki,259.36,3.82,0.79,-63.23,6800,-7.6
846 Liseicki,262.05,3.82,0.8,-63.64,6820,-7.5
846 Liseicki,264.64,3.74,0.71,-56.86,6840,-7.5
846 Liseicki,267.31,3.74,0.72,-57.28,6860,-7.3
846 Liseicki,268.42,3.78,0.75,-60.09,6880,-7.2
846 Liseicki,269.75,3.63,0.6,-48.1,6900,-7
846 Liseicki,272.15,3.85,0.82,-65.71,6920,-6.9
846 Liseicki,272.71,3.75,0.72,-57.72,6940,-6.7
846 Liseicki,275.77,3.84,0.81,-64.94,6960,-6.6
846 Liseicki,277.71,3.63,0.6,-48.15,6980,-6.5
846 Liseicki,278.55,3.6,0.57,-45.76,7000,-6.5
846 Liseicki,280.62,3.41,0.38,-30.17,7020,-6.6
846 Liseicki,282.43,3.37,0.34,-27.39,7040,-6.7
846 Liseicki,284.01,3.17,0.14,-11.4,7060,-6.8
846 Liseicki,284.59,3.23,0.2,-16.2,7080,-6.9
846 Liseicki,285.58,3.2,0.17,-13.81,7100,-7
846 Liseicki,286.36,3.3,0.27,-21.81,7120,-7
846 Liseicki,287.23,3.31,0.28,-22.62,7140,-7
846 Liseicki,288.46,3.21,0.18,-14.63,7160,-6.8
846 Liseicki,290.84,3.26,0.23,-18.24,7180,-6.5
846 Liseicki,293.91,3.48,0.45,-36.26,7200,-6.1
846 Liseicki,297.87,3.39,0.36,-29.09,7220,-5.7
846 Liseicki,301.02,3.32,0.29,-23.52,7240,-5.1
846 Liseicki,303.48,3.5,0.47,-37.97,7260,-4.6
846 Liseicki,305.54,3.26,0.24,-18.81,7280,-4
846 Liseicki,307.69,3.23,0.21,-16.45,7300,-3.5
846 Liseicki,309.13,3.19,0.17,-13.27,7320,-3
846 Liseicki,311.77,3.21,0.19,-14.92,7340,-2.6
846 Liseicki,314.88,2.95,-0.07,5.82,7360,-2.3
846 Liseicki,316.08,3.16,0.14,-11,7380,-2.2
846 Liseicki,317.27,3.09,0.06,-5.03,7400,-2.2
846 Liseicki,319.19,3.41,0.68,-54.06,7420,-2.5
846 Liseicki,319.75,3.1,0.37,-29.27,7440,-2.9
846 Liseicki,323,2.61,-0.12,9.93,7460,-3.4
846 Liseicki,323.79,2.61,-0.12,9.93,7480,-4.1
846 Liseicki,326.53,2.72,-0.01,1.13,7500,-4.9
846 Liseicki,329.05,2.83,-0.19,15.15,7520,-5.8
846 Liseicki,329.52,3.1,0.08,-6.45,7540,-6.7
846 Liseicki,333.22,3.09,0.07,-5.72,7560,-7.7
846 Liseicki,334.89,3.29,0.27,-21.35,7580,-8.7
846 Liseicki,337.3,4,0.98,-78.59,7600,-9.6
846 Liseicki,337.7,3.64,0.62,-49.8,7620,-10.5
846 Liseicki,339.12,3.99,0.97,-77.82,7640,-11.3
846 Liseicki,339.53,3.79,0.77,-61.83,7660,-12
846 Liseicki,340.34,3.93,0.91,-73.04,7680,-12.7
846 Liseicki,341.19,4.11,1.09,-87.46,7700,-13.2
846 Liseicki,341.62,3.97,0.95,-76.27,7720,-13.7
846 Liseicki,343.04,3.96,0.95,-75.89,7740,-14.2
846 Liseicki,344.65,4.07,1.05,-84.32,7760,-14.7
846 Liseicki,345.15,3.77,0.75,-60.33,7780,-15.2
846 Liseicki,347.98,3.91,0.89,-71.59,7800,-15.8
846 Liseicki,351.07,3.91,0.9,-71.64,7820,-16.4
846 Liseicki,353.27,3.99,0.98,-78.08,7840,-17
846 Liseicki,354.76,3.89,0.88,-70.11,7860,-17.6
846 Liseicki,355.99,3.95,0.94,-74.93,7880,-18.2
846 Liseicki,357.47,3.88,0.87,-69.36,7900,-18.7
846 Liseicki,358.95,4.29,1.28,-102.18,7920,-19
846 Liseicki,361.42,3.57,0.56,-44.64,7940,-19.2
846 Liseicki,365.02,3.44,0.43,-34.31,7960,-19.3
846 Liseicki,368.88,3.91,0.9,-71.97,7980,-19.2
846 Liseicki,372.46,3.49,0.48,-38.44,8000,-18.9
846 Liseicki,375.22,3.49,0.48,-38.49,8020,-18.6
846 Liseicki,377.42,3.47,0.46,-36.93,8040,-18.3
846 Liseicki,379.9,3.37,0.36,-28.98,8060,-18.1
846 Liseicki,382.38,3.45,0.44,-35.43,8080,-17.9
846 Liseicki,385.76,3.28,0.27,-21.89,8100,-18
846 Liseicki,389.01,3.08,0.07,-5.95,8120,-18.3
846 Liseicki,392.78,3.16,0.16,-12.42,8140,-18.8
846 Liseicki,395.05,2.87,-0.13,10.73,8160,-19.5
846 Liseicki,396.3,2.88,-0.12,9.91,8180,-20.3
846 Liseicki,397.56,2.56,-0.17,13.93,8200,-21.2
846 Liseicki,399.58,2.57,-0.16,13.13,8220,-22.1
846 Liseicki,400.33,2.62,-0.11,9.13,8240,-22.9
846 Liseicki,403.1,2.43,-0.3,24.32,8260,-23.7
846 Liseicki,405.87,2.67,-0.06,5.13,8280,-24.3
846 Liseicki,408.83,2.7,-0.03,2.73,8300,-24.7
846 Liseicki,412.3,2.84,-0.16,12.69,8320,-24.9
846 Liseicki,416.51,3.08,0.08,-6.23,8340,-24.9
846 Liseicki,420.14,3.7,0.7,-56.32,8360,-24.8
846 Liseicki,424.04,3.89,0.9,-71.63,8380,-24.5
846 Liseicki,426.84,4.17,1.18,-94.11,8400,-24.1
846 Liseicki,430.01,4.28,1.29,-103.4,8420,-23.6
846 Liseicki,433.01,4.28,1.29,-103.09,8440,-23.2
846 Liseicki,436.3,4.36,1.37,-109.98,8460,-22.8
846 Liseicki,438.33,4.28,1.29,-103.24,8480,-22.5
846 Liseicki,440.11,3.87,0.88,-70.49,8500,-22.3
846 Liseicki,441.55,4.06,1.07,-85.73,8520,-22.2
846 Liseicki,445.04,3.82,0.83,-66.63,8540,-22.2
846 Liseicki,446.69,3.82,0.83,-66.68,8560,-22.3
846 Liseicki,447.99,3.89,0.91,-72.72,8580,-22.4
846 Liseicki,449.28,3.82,0.83,-66.76,8600,-22.4
846 Liseicki,450.57,3.8,0.81,-65.19,8620,-22.4
846 Liseicki,453.02,3.79,0.81,-64.46,8640,-22.4
846 Liseicki,453.41,3.88,0.9,-71.67,8660,-22.3
846 Liseicki,454.34,3.91,0.93,-74.1,8680,-22.2
846 Liseicki,454.83,3.81,0.83,-66.11,8700,-22
846 Liseicki,456.06,4,1.02,-81.35,8720,-21.9
846 Liseicki,457.99,4.07,1.09,-87,8740,-21.8
846 Liseicki,460.03,3.95,0.97,-77.46,8760,-21.8
846 Liseicki,462.5,3.97,0.99,-79.13,8780,-21.9
846 Liseicki,464.95,4,1.02,-81.6,8800,-22.1
846 Liseicki,467.98,3.79,0.81,-64.89,8820,-22.3
846 Liseicki,471.24,3.62,0.64,-51.39,8840,-22.6
846 Liseicki,474.46,3.4,0.42,-33.88,8860,-22.8
846 Liseicki,477.67,3.44,0.46,-37.17,8880,-22.8
846 Liseicki,482.82,3.29,0.32,-25.32,8900,-22.8
846 Liseicki,486.35,3.18,0.21,-16.62,8920,-22.5
846 Liseicki,489.65,3.18,0.21,-16.72,8940,-22.1
846 Liseicki,492.5,3.71,0.74,-59.19,8960,-21.5
846 Liseicki,495.13,3.23,0.26,-20.87,8980,-20.8
846 Liseicki,497.98,3.3,0.33,-26.55,9000,-20.1
846 Liseicki,500.83,3.04,0.07,-5.84,9020,-19.3
846 Liseicki,503.68,3.48,0.51,-41.11,9040,-18.6
846 Liseicki,505.97,3.57,0.6,-48.38,9060,-18.1
846 Liseicki,508.26,3.62,0.66,-52.44,9080,-17.6
846 Liseicki,510.54,3.75,0.79,-62.91,9100,-17.3
846 Liseicki,512.87,3.74,0.78,-62.17,9120,-17.2
846 Liseicki,516.37,3.62,0.66,-52.67,9140,-17.2
846 Liseicki,517.13,3.43,0.47,-37.5,9160,-17.3
846 Liseicki,520.36,3.48,0.52,-41.59,9180,-17.5
846 Liseicki,523.94,3.44,0.48,-38.49,9200,-17.6
846 Liseicki,527.64,3.46,0.5,-40.2,9220,-17.8
846 Liseicki,532.28,3.62,0.66,-53.13,9240,-17.9
846 Liseicki,535.99,3.74,0.79,-62.83,9260,-18
846 Liseicki,540.06,3.73,0.78,-62.15,9280,-18
846 Liseicki,543.53,3.7,0.75,-59.85,9300,-18
846 Liseicki,548.07,3.84,0.89,-71.18,9320,-17.9
846 Liseicki,552.18,3.56,0.61,-48.9,9340,-17.7
846 Liseicki,556.12,3.69,0.74,-59.41,9360,-17.4
846 Liseicki,558.83,3.57,0.62,-49.89,9380,-17.1
846 Liseicki,562.07,3.48,0.53,-42.78,9400,-16.6
846 Liseicki,564.07,3.27,0.33,-26.04,9420,-16.1
846 Liseicki,566.08,3.24,0.3,-23.7,9440,-15.5
846 Liseicki,568.75,3.3,0.36,-28.57,9460,-14.9
846 Liseicki,570.74,3.1,0.16,-12.63,9480,-14.2
846 Liseicki,572.43,3.08,0.14,-11.08,9500,-13.6
846 Liseicki,575.08,2.94,0,0.04,9520,-13
846 Liseicki,578.45,3.23,0.29,-23.25,9540,-12.5
846 Liseicki,581.58,3.71,0.77,-61.74,9560,-12.1
846 Liseicki,584.94,3.76,0.82,-65.83,9580,-11.8
846 Liseicki,588.11,3.57,0.63,-50.73,9600,-11.6
846 Liseicki,592.23,3.4,0.47,-37.24,9620,-11.6
846 Liseicki,596.95,3.37,0.44,-34.98,9640,-11.7
846 Liseicki,600.44,3.44,0.51,-40.68,9660,-11.9
