TOC,Height
0.204081633,0.539083558
0.204081633,3.126684636
0.816326531,12.83018868
0.408163265,16.06469003
5.510204082,17.35849057
4.285714286,20.59299191
4.285714286,24.47439353
4.489795918,27.70889488
3.469387755,30.94339623
2.653061224,38.05929919
4.081632653,42.58760108
4.081632653,47.11590296
3.87755102,49.05660377
1.836734694,51.64420485
3.06122449,54.23180593
3.469387755,58.76010782
4.897959184,60.05390836
0.816326531,61.34770889
3.673469388,65.22911051
3.469387755,67.16981132
1.428571429,68.46361186
4.693877551,78.1671159
3.87755102,80.75471698
3.265306122,81.40161725
1.224489796,82.04851752
2.857142857,83.34231806
3.673469388,83.34231806
4.081632653,83.34231806
4.897959184,83.34231806
3.87755102,85.92991914
4.489795918,86.57681941
3.469387755,90.45822102
4.897959184,91.75202156
6.530612245,96.92722372
5.102040816,98.22102426
4.489795918,100.8086253
3.87755102,102.1024259
2.653061224,103.3962264
2.857142857,105.9838275
2.857142857,107.277628
3.06122449,109.2183288
3.673469388,110.5121294
1.020408163,112.4528302
2.857142857,116.9811321
6.326530612,115.6873315
6.326530612,119.5687332
5.102040816,124.097035
5.510204082,127.3315364
3.87755102,130.5660377
2.040816327,134.4474394
3.469387755,137.6819407
5.918367347,140.916442
6.326530612,144.7978437
5.306122449,148.032345
0.204081633,151.2668464
0.204081633,151.9137466
0.408163265,189.4339623
4.081632653,194.6091644
8.163265306,201.0781671
8.979591837,197.8436658
10.81632653,199.7843666
9.795918367,203.0188679
6.93877551,206.2533693
7.959183673,210.1347709
5.714285714,213.3692722
4.081632653,216.6037736
1.020408163,214.6630728
6.530612245,218.5444744
4.693877551,221.7789757
6.12244898,225.0134771
10,238.5983827
8.571428571,240.5390836
7.551020408,243.7735849
8.367346939,247.6549865
4.897959184,250.8894879
12.85714286,252.8301887
15.71428571,252.1832884
15.51020408,254.7708895
14.69387755,255.4177898
11.83673469,256.7115903
10.6122449,256.7115903
12.65306122,258.0053908
15.51020408,258.6522911
18.97959184,254.1239892
18.16326531,258.6522911
14.28571429,260.5929919
14.89795918,260.5929919
11.83673469,262.5336927
18.97959184,261.8867925
20.6122449,264.4743935
26.12244898,263.8274933
25.71428571,267.0619946
20.40816327,267.0619946
19.3877551,267.7088949
11.83673469,269.6495957
17.34693878,270.9433962
21.63265306,271.5902965
23.87755102,271.5902965
18.16326531,276.1185984
12.24489796,272.884097
11.42857143,273.5309973
12.04081633,274.8247978
19.18367347,278.0592992
26.32653061,276.7654987
22.04081633,281.2938005
19.79591837,280.6469003
13.67346939,282.5876011
10.81632653,279.3530997
1.428571429,280.6469003
2.244897959,281.2938005
9.387755102,284.5283019
14.48979592,287.115903
12.85714286,289.703504
10.81632653,292.9380054
10.81632653,293.5849057
1.224489796,296.1725067
14.89795918,300.0539084
9.387755102,303.2884097
4.285714286,306.5229111
5.510204082,310.4043127
6.93877551,312.9919137
6.93877551,317.5202156
6.734693878,320.1078167
5.918367347,323.3423181
7.755102041,327.2237197
7.142857143,329.8113208
7.346938776,334.9865229
7.755102041,336.9272237
5.714285714,340.1617251
3.87755102,343.3962264
7.755102041,347.277628
7.142857143,351.1590296
7.346938776,354.393531
4.693877551,356.9811321
6.12244898,360.8625337
7.959183673,364.097035
5.918367347,367.3315364
6.12244898,371.212938
4.081632653,374.4474394
3.87755102,378.328841
2.653061224,381.5633423
