TOC,Height
4.444444444,83.35664336
5.079365079,98.04195804
4.444444444,100.8391608
3.174603175,100.8391608
4.761904762,101.5384615
4.126984127,113.4265734
5.079365079,125.3146853
2.857142857,150.4895105
13.96825397,215.5244755
16.19047619,215.5244755
5.714285714,237.9020979
4.761904762,237.9020979
15.87301587,260.2797203
17.46031746,260.2797203
16.50793651,293.8461538
15.87301587,293.8461538
11.11111111,298.7412587
10.79365079,298.7412587
9.841269841,298.7412587
7.619047619,306.4335664
6.984126984,306.4335664
7.619047619,312.027972
6.349206349,312.027972
6.349206349,317.6223776
7.301587302,325.3146853
6.349206349,325.3146853
6.031746032,325.3146853
5.396825397,363.7762238
4.761904762,363.7762238
3.174603175,376.3636364
